date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-08-09T00:00:00.000Z,24.3259,25.1,24.15,25.1,6595,15.5328862879,16.0271745681,15.4205683594,16.0271745681,6595,0.0,1.0
2022-08-10T00:00:00.000Z,25.4376,25.4376,24.48,25.32,2629,16.2427432588,16.2427432588,15.6312842003,16.1676517954,2629,0.0,1.0
2022-08-11T00:00:00.000Z,24.5623,25.5,24.5623,25.5,1422,15.683835454,16.2825877087,15.683835454,16.2825877087,1422,0.0,1.0
2022-08-12T00:00:00.000Z,25.98,26.0,24.5,24.5,4228,16.5890834773,16.6018541343,15.6440548574,15.6440548574,4228,0.0,1.0
2022-08-15T00:00:00.000Z,27.02,27.38,26.28,26.28,27469,17.2531576427,17.4830294692,16.7806433327,16.7806433327,27469,0.0,1.0
2022-08-16T00:00:00.000Z,26.7191,27.41,26.7191,27.2,7041,17.0610231077,17.5021854547,17.0610231077,17.3680935559,7041,0.0,1.0
2022-08-17T00:00:00.000Z,26.4008,26.7,26.1674,26.23,3272,16.8577781011,17.0488271303,16.7087445336,16.7487166901,3272,0.0,1.0
2022-08-18T00:00:00.000Z,26.2648,26.5733,26.2648,26.5733,1046,16.7709376334,16.967925018,16.7709376334,16.967925018,1046,0.0,1.0
2022-08-19T00:00:00.000Z,25.5978,25.5978,25.234,25.45,3242,16.3450362215,16.3450362215,16.1127379702,16.2506610661,3242,0.0,1.0
2022-08-22T00:00:00.000Z,24.875,25.12,24.55,25.12,26574,15.8835046766,16.0399452252,15.6759814999,16.0399452252,26574,0.0,1.0
2022-08-23T00:00:00.000Z,25.5434,25.5434,24.96,24.99,8306,16.3103000344,16.3103000344,15.937779969,15.9569359545,8306,0.0,1.0
2022-08-24T00:00:00.000Z,25.5731,26.18,25.5731,25.75,4100,16.3292644601,16.7167900476,16.3292644601,16.4422209215,4100,0.0,1.0
2022-08-25T00:00:00.000Z,25.4793,26.33,25.01,26.33,42172,16.2693700787,16.8125699753,15.9697066115,16.8125699753,42172,0.0,1.0
2022-08-26T00:00:00.000Z,24.6633,25.97,24.6633,25.68,38012,15.748327272,16.5826981488,15.748327272,16.3975236219,38012,0.0,1.0
2022-08-29T00:00:00.000Z,24.26,24.45,24.04,24.04,3603,15.490806973,15.6121282148,15.3503297457,15.3503297457,3603,0.0,1.0
2022-08-30T00:00:00.000Z,23.5022,24.6,23.09,24.6,3946,15.0069267783,15.7079081425,14.743723537,15.7079081425,3946,0.0,1.0
